series,ref_month,value,source_pdf,release_date
aig_pmi,2019-10-01,3.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2019-10-31
aig_pmi,2019-11-01,-3.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2019-12-01
aig_pmi,2019-12-01,-3.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2020-01-05
aig_pmi,2020-01-01,-9.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2020-02-02
aig_pmi,2020-02-01,-11.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2020-03-01
aig_pmi,2020-03-01,7.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2020-03-31
aig_pmi,2020-04-01,-28.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2020-04-30
aig_pmi,2020-05-01,-16.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2020-05-31
aig_pmi,2020-06-01,3.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2020-06-30
aig_pmi,2020-07-01,7.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2020-08-02
aig_pmi,2020-08-01,-1.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2020-08-31
aig_pmi,2020-09-01,-6.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2020-09-30
aig_pmi,2020-10-01,12.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2020-11-01
aig_pmi,2020-11-01,4.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2020-11-30
aig_pmi,2021-01-01,10.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2021-01-31
aig_pmi,2021-02-01,17.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2021-02-28
aig_pmi,2021-03-01,19.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2021-03-31
aig_pmi,2021-04-01,23.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2021-05-02
aig_pmi,2021-05-01,23.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2021-05-31
aig_pmi,2021-06-01,26.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2021-06-30
aig_pmi,2021-07-01,21.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2021-08-01
aig_pmi,2021-08-01,3.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2021-08-31
aig_pmi,2021-09-01,2.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2021-09-30
aig_pmi,2021-10-01,0.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2021-10-31
aig_pmi,2021-11-01,9.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2021-11-30
aig_pmi,2021-12-01,-3.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2022-01-31
aig_pmi,2022-02-01,6.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2022-02-28
aig_pmi,2022-03-01,11.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2022-03-31
aig_pmi,2022-04-01,17.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2022-05-01
aig_pmi,2022-05-01,4.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2022-05-31
aig_pmi,2022-06-01,8.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2022-06-30
aig_pmi,2022-07-01,5.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2022-07-31
aig_pmi,2022-08-01,-1.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2022-08-31
aig_pmi,2022-09-01,0.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2022-10-03
aig_pmi,2022-10-01,-0.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2022-11-01
aig_pmi,2022-11-01,-10.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2022-11-30
aig_pmi,2023-02-01,-6.4,Australian Industry Group (AIG) Manufacturing Index.pdf,2023-02-28
aig_pmi,2023-03-01,5.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2023-04-05
aig_pmi,2023-04-01,-20.2,Australian Industry Group (AIG) Manufacturing Index.pdf,2023-05-03
aig_pmi,2023-05-01,-5.1,Australian Industry Group (AIG) Manufacturing Index.pdf,2023-06-07
aig_pmi,2023-06-01,-19.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2023-07-05
aig_pmi,2023-07-01,-25.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2023-08-02
aig_pmi,2023-08-01,-19.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2023-09-06
aig_pmi,2023-09-01,-12.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2023-10-04
aig_pmi,2023-10-01,-20.9,Australian Industry Group (AIG) Manufacturing Index.pdf,2023-10-31
aig_pmi,2023-11-01,-25.3,Australian Industry Group (AIG) Manufacturing Index.pdf,2023-12-05
aig_pmi,2023-12-01,-23.8,Australian Industry Group (AIG) Manufacturing Index.pdf,2024-02-06
aig_pmi,2024-02-01,-12.6,Australian Industry Group (AIG) Manufacturing Index.pdf,2024-03-05
aig_pmi,2024-03-01,-7.0,Australian Industry Group (AIG) Manufacturing Index.pdf,2024-04-02
aig_pmi,2024-04-01,-13.9,Australian Industry Group (AIG) Manufacturing Index.pdf,2024-05-01
aig_pmi,2024-05-01,-31.1,Australian Industry Group (AIG) Manufacturing Index.pdf,2024-06-05
aig_pmi,2024-06-01,-26.5,Australian Industry Group (AIG) Manufacturing Index.pdf,2024-07-03
aig_pmi,2024-07-01,-19.5,Australian Industry Group (AIG) Manufacturing Index.pdf,2024-08-07
